username,rejected,email,nickname,created,study,study_name,question14_item1,prolific_id,prolific_reminder,question1,Q_el_1,Q_el_2,Q_el_3,Q_ay_1,Q_ay_2,Q_ay_3,Q_sp_1,Q_sp_2,Q_sp_3,Q_dd_1,Q_dd_2,Q_dd_3,Q_ss_1,Q_ss_2,Q_ss_3,rt_general info,rt_demographics,rt_intro_to_mem_qs,"rt_Filter my world, memory questions","rt_Filter about Artify Yourself, memory questions","rt_Filter about a Shadow Puppet Show, memory questions","rt_Filter about a Dance with Durga, memory questions",rt_Filter about Stories for Stitches,survey_page_changed_to_general info,duration_seconds,duration_readable,user_at_start,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_url,textxr_participant_id,textxr_uuid,order_general info,survey_page_changed_to_demographics,order_demographics,survey_page_changed_to_intro_to_mem_qs,order_intro_to_mem_qs,survey_page_changed_to_Filter about Stories for Stitches,order_Filter about Stories for Stitches,"survey_page_changed_to_Filter my world, memory questions","order_Filter my world, memory questions","survey_page_changed_to_Filter about a Dance with Durga, memory questions","order_Filter about a Dance with Durga, memory questions","survey_page_changed_to_Filter about Artify Yourself, memory questions","order_Filter about Artify Yourself, memory questions","survey_page_changed_to_Filter about a Shadow Puppet Show, memory questions",internal_id,"order_Filter about a Shadow Puppet Show, memory questions",survey_page_changed_to_intro_to_mem_qs_1,rt_intro_to_mem_qs_1,survey_page_changed_to_Filter about Stories for Stitches_1,rt_Filter about Stories for Stitches_1,survey_page_changed_to_demographics_1,rt_demographics_1,survey_page_changed_to_intro_to_mem_qs_1_2,rt_intro_to_mem_qs_1_2,pageNumber,rt_general info_1,order_general info_1,"survey_page_changed_to_Filter my world, memory questions_1","rt_Filter my world, memory questions_1","survey_page_changed_to_Filter about a Dance with Durga, memory questions_1",Q_dd_1-Comment,survey_page_changed_to_demographics_1_2,rt_demographics_1_2,order_demographics_1,order_intro_to_mem_qs_1,survey_page_changed_to_intro_to_mem_qs_1_2_3,survey_page_changed_to_demographics_1_2_3,survey_page_changed_to_demographics_1_2_3_4,rt_demographics_1_2_3,survey_page_changed_to_intro_to_mem_qs_1_2_3_4,rt_intro_to_mem_qs_1_2_3,survey_page_changed_to_Filter about Stories for Stitches_1_2,rt_Filter about Stories for Stitches_1_2,"survey_page_changed_to_Filter about Artify Yourself, memory questions_1","rt_Filter about Artify Yourself, memory questions_1","rt_Filter about a Dance with Durga, memory questions_1","survey_page_changed_to_Filter about a Shadow Puppet Show, memory questions_1","rt_Filter about a Shadow Puppet Show, memory questions_1","survey_page_changed_to_Filter about a Dance with Durga, memory questions_1_2","rt_Filter about a Dance with Durga, memory questions_1_2",testxr_participant_id,testxr_uuid
﻿,0,,,2023-12-15 07:36:55.147827,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,63d3fa85fbb34f6143c7458a,,,-2,-2,-2,1,1,,1,-1,,1,-3,-2,1,-2,-2,27,7,12,16,24,,22,24,,162,2m:42s,AnonymousUser,63d3fa85fbb34f6143c7458a,647e158528ccd252f9e1378b,657c01f190397a8104afdcdc,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=63d3fa85fbb34f6143c7458a&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c01f190397a8104afdcdc,,,1,27,2,34,3,46,4,116,7,94,6,70,5,132,19657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,956514a3-5f00-4d39-9ebc-06e41c2ec4d1
﻿,0,,,2023-12-15 07:37:24.076692,7c84c335-14bb-4f3a-bf50-d6767efcf75e,instagram_1month_MAP__underserved_flat,1,5fd329adf2515a16ef7d1b58,,,-2,-3,-2,1,-3,1,-2,-2,-2,1,-1,1,1,1,1,7,4,,20,,36,40,22,,138,2m:18s,AnonymousUser,5fd329adf2515a16ef7d1b58,647e1520657b3e741e290106,657c02254c16edfbbef1a556,https://testxr.org/projects/survey/prolific/7c84c335-14bb-4f3a-bf50-d6767efcf75e/?PROLIFIC_PID=5fd329adf2515a16ef7d1b58&STUDY_ID=647e1520657b3e741e290106&SESSION_ID=657c02254c16edfbbef1a556,,,1,7,2,11,,,2,58,4,78,5,118,,22,19658,3,,,,,,,,,2,!issue with timing as trial ended that was not registered as current trial,1,,,,,,,,,,,,,,,,,,,,,,,,None,50821432-4648-4863-87ef-fc85127780c7
﻿,0,,,2023-12-15 07:38:04.092181,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,63d13edbfc31f4ecf0122017,,,1,-3,1,1,1,1,1,-2,-1,1,1,-2,-2,-3,-1,15,5,5,10,17,13,,17,,98,1m:38s,AnonymousUser,63d13edbfc31f4ecf0122017,647e158528ccd252f9e1378b,657c0243573c24460b180cbf,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=63d13edbfc31f4ecf0122017&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c0243573c24460b180cbf,,,1,15,2,20,3,25,4,60,6,83,,42,5,70,19659,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,f3517858-98a4-4a0f-bf15-6543c7b2323c
﻿,0,,,2023-12-15 07:38:38.728036,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,6149c3f9627672a6944a61e2,,,-1,-3,-1,1,-3,-2,1,-1,-1,1,-3,-2,1,-1,1,6,16,3,9,,14,18,16,,93,1m:33s,AnonymousUser,6149c3f9627672a6944a61e2,647e14799b46b0e21c3c5ce1,657c025c0d169166f74997d6,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=6149c3f9627672a6944a61e2&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c025c0d169166f74997d6,,,1,6,2,22,3,25,4,55,6,64,7,82,,41,19660,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,b93685d2-9090-4c41-aa8b-befb7002e55c
﻿,0,,,2023-12-15 07:40:46.857137,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,643c069c30e6ba111922f086,,,1,1,-1,1,-1,-1,-2,-1,-2,-3,1,-3,-1,1,-1,26,5,3,,13,16,69,21,,185,3m:5s,AnonymousUser,643c069c30e6ba111922f086,647e158528ccd252f9e1378b,657c02d5aa8091bfa2b26228,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=643c069c30e6ba111922f086&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c02d5aa8091bfa2b26228,,,1,26,2,31,3,54,4,174,,75,5,144,6,158,19662,7,48,6,,,34,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,cf789685-1599-4889-8f76-7c261972d3ad
﻿,0,,,2023-12-15 07:44:33.496299,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,5f160514e2a4062d2a0ded58,,,1,1,-1,-2,-2,-2,-1,1,-2,-2,-3,-3,-2,-2,-3,49,6,7,13,17,21,,27,,168,2m:48s,AnonymousUser,5f160514e2a4062d2a0ded58,647e158528ccd252f9e1378b,657c03713198d96ae306f749,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=5f160514e2a4062d2a0ded58&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c03713198d96ae306f749,,,1,49,2,55,3,62,4,110,6,141,,124,7,89,19668,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,be563c06-493b-42f1-95c6-0249ad4eefa2
﻿,0,,,2023-12-15 07:45:37.198547,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5f0ef4b28c30af017ed66e9c,,,1,1,-1,1,-3,1,-1,-2,-1,-1,1,-2,-2,-1,1,44,8,7,13,17,,22,23,,152,2m:32s,AnonymousUser,5f0ef4b28c30af017ed66e9c,647e14799b46b0e21c3c5ce1,657c03e00ee1ce3f0fe3884d,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5f0ef4b28c30af017ed66e9c&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c03e00ee1ce3f0fe3884d,,,1,44,2,52,3,59,4,82,5,95,6,117,7,134,19670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,893175ac-7364-48c9-9598-ae134306d1b7
﻿,0,,,2023-12-15 07:46:20.589847,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,59646f5198cf77000106feb1,,,1,-2,-1,-1,1,-1,1,1,1,1,1,-2,-3,-3,-3,17,7,4,,28,139,114,84,,511,8m:31s,AnonymousUser,59646f5198cf77000106feb1,647e14799b46b0e21c3c5ce1,657c043205941aea7d1c7759,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=59646f5198cf77000106feb1&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c043205941aea7d1c7759,,,1,17,2,24,3,28,4,393,,140,6,112,5,254,19671,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,ebfd5175-5abd-43bf-aaf1-95c829c106c8
﻿,0,,,2023-12-15 07:46:40.369591,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,61603594da220b1a4dbac2ec,,,-3,-1,1,-2,-1,-2,-1,1,1,-2,1,1,-2,-2,-2,7,8,6,,15,17,19,24,,114,1m:54s,AnonymousUser,61603594da220b1a4dbac2ec,647e158528ccd252f9e1378b,657c04500720de692683790f,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=61603594da220b1a4dbac2ec&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c04500720de692683790f,,,1,7,2,15,3,21,4,96,,60,6,45,5,79,19672,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,c7a12d87-d0ef-4708-92f5-0983f75863d7
﻿,0,,,2023-12-15 07:50:04.093921,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,60d0d5e930dc4a90889b2321,,,1,1,-2,1,1,-3,-1,-2,-2,-1,-3,-1,1,-3,-1,19,8,7,22,,37,43,34,,195,3m:15s,AnonymousUser,60d0d5e930dc4a90889b2321,647e14799b46b0e21c3c5ce1,657c051004aae1c6a7ada3ad,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=60d0d5e930dc4a90889b2321&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c051004aae1c6a7ada3ad,,,1,19,2,27,3,34,4,148,7,105,6,170,,68,19680,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,f8c45ec1-2561-4af1-b230-8ce0dd15ca81
﻿,0,,,2023-12-15 07:53:06.945115,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5eab8aaadf23cb170f52e0cc,,,-1,-1,-3,-2,-2,-1,1,-1,-2,1,-2,-2,-2,-2,1,27,18,9,14,32,,21,76,,273,4m:33s,AnonymousUser,5eab8aaadf23cb170f52e0cc,647e14799b46b0e21c3c5ce1,657c05c3b5e3b16c92c11e2c,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5eab8aaadf23cb170f52e0cc&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c05c3b5e3b16c92c11e2c,,,1,27,2,45,3,54,4,183,7,162,6,130,5,197,19682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,dbd0d201-bf51-4815-9c51-023bdd6b4e6c
﻿,0,,,2023-12-15 08:05:39.904437,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,5ec6df52f52d1111598b1221,,,-2,1,-3,-2,1,1,-3,-1,1,1,-1,-2,-1,-1,-1,56,6,157,28,,189,27,10,,585,9m:45s,AnonymousUser,5ec6df52f52d1111598b1221,647e158528ccd252f9e1378b,657c088520d87e63f1a09e5c,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=5ec6df52f52d1111598b1221&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c088520d87e63f1a09e5c,,,1,56,2,62,3,219,4,471,6,499,7,526,,282,19685,5,229,7,243,39,236,2,238,4,,,,,,,,,,,,,,,,,,,,,,,,,,,None,153a9005-f2f0-4aad-b9de-2180eb579c49
﻿,0,,,2023-12-15 08:17:40.617724,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5b62d01e165cc20001781f9f,,,1,1,,-1,-1,1,1,1,-3,1,1,,-2,-1,1,13,8,3,11,15,15,,20,,104,1m:44s,AnonymousUser,5b62d01e165cc20001781f9f,647e14799b46b0e21c3c5ce1,657c0b4cc8798c6608bcf6d2,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5b62d01e165cc20001781f9f&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c0b4cc8798c6608bcf6d2,,,1,13,2,21,3,24,4,60,6,86,,44,5,71,19688,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,98b2633d-dc48-4ff1-989a-9c7a49b0b71c
﻿,0,,,2023-12-15 08:19:31.452983,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,63d79eee3050f200940fd28d,,,1,-2,1,-1,-1,-3,-3,-2,-2,-3,-1,-1,1,-2,-3,18,24,10,,87,34,36,43,,279,4m:39s,AnonymousUser,63d79eee3050f200940fd28d,647e14799b46b0e21c3c5ce1,657c0bf145d20784f3917050,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=63d79eee3050f200940fd28d&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c0bf145d20784f3917050,,,1,19,2,43,3,53,4,253,,96,5,132,6,219,19689,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,7ab46c4e-b72e-44f6-bc7d-6480f80680e0
﻿,0,,,2023-12-15 08:23:44.557334,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,5738b41e67421f000e18464c,,,1,1,1,1,-2,-2,-1,-2,1,-1,1,-1,-1,1,-2,20,13,2,8,7,,10,11,33,85,1m:25s,AnonymousUser,5738b41e67421f000e18464c,647e158528ccd252f9e1378b,657c0cf20d169166f7499a38,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=5738b41e67421f000e18464c&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c0cf20d169166f7499a38,,,1,20,2,39,3,41,4,59,6,67,7,52,5,77,19690,,,,,,36,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,None,66f32ee6-4834-4e4e-802d-59e22e0636e7
﻿,0,,,2023-12-15 08:38:28.498747,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,63d7ab86c847cafcb6b8803c,,,1,-3,-2,-2,-2,-1,-1,-1,-2,-3,-2,-1,-2,-1,1,47,16,8,10,26,,15,27,,163,2m:43s,AnonymousUser,63d7ab86c847cafcb6b8803c,647e158528ccd252f9e1378b,657c104dd451c360400cae14,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=63d7ab86c847cafcb6b8803c&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c104dd451c360400cae14,,,1,47,2,63,3,71,4,124,6,134,7,98,5,149,19695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,320ff9eb-2d66-4a7a-8b43-2901b05d39f3
﻿,0,,,2023-12-15 08:45:09.983830,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,5e39e3e654fca708912dfac4,,,1,-2,-1,-2,-3,-3,-1,1,1,-2,-1,-1,-3,1,-3,16,6,3,15,20,17,,37,,141,2m:21s,AnonymousUser,5e39e3e654fca708912dfac4,647e158528ccd252f9e1378b,657c11fe04aae1c6a7ada6fc,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=5e39e3e654fca708912dfac4&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c11fe04aae1c6a7ada6fc,,,1,16,2,22,3,25,4,100,7,115,,80,6,62,19697,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,016c0695-2d95-4694-81e0-ec14a3e48ace
﻿,0,,,2023-12-15 08:47:38.696385,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,604a06acf362ce3bbf7b5106,,,-2,-3,1,-3,1,1,-1,-2,-1,1,-3,-1,-1,-1,-1,10,5,6,17,,16,15,17,,110,1m:50s,AnonymousUser,604a06acf362ce3bbf7b5106,647e14799b46b0e21c3c5ce1,657c126eff6a131dd3995dec,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=604a06acf362ce3bbf7b5106&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c126eff6a131dd3995dec,,,1,10,2,15,3,21,4,38,5,55,6,86,,70,19698,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,9919faaf-50f5-4a7e-87ec-c4cb6d630d1d
﻿,0,,,2023-12-15 08:49:13.529739,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,611cf78346c5e728a66f1ebe,,,1,-1,1,-2,-3,-2,-1,-2,-2,1,-2,1,-2,-3,-3,10,11,3,12,22,19,,13,,108,1m:48s,AnonymousUser,611cf78346c5e728a66f1ebe,647e14799b46b0e21c3c5ce1,657c12f78a79c8ddd6a2eb07,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=611cf78346c5e728a66f1ebe&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c12f78a79c8ddd6a2eb07,,,1,10,2,21,3,24,4,78,7,90,,37,5,59,19700,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,21a62714-eb70-4a42-b14b-3657ecb90fb7
﻿,0,,,2023-12-15 08:49:54.119864,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,64079602e82d54bfb7c00fcc,,,1,1,1,-2,-2,-3,1,-1,-2,-3,-3,-2,-3,1,1,17,5,4,,6,8,8,12,,65,1m:5s,AnonymousUser,64079602e82d54bfb7c00fcc,647e14799b46b0e21c3c5ce1,657c12f959b8423b24a2e391,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=64079602e82d54bfb7c00fcc&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c12f959b8423b24a2e391,,,1,17,2,22,3,26,4,60,,46,6,54,7,38,19703,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,2bfa0e7b-abae-40b6-804b-b34de1c56e1b
﻿,0,,,2023-12-15 08:52:01.949412,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,610708c5efbf18e4295facc3,,,1,-3,-3,1,1,-2,1,-2,1,-2,1,1,-2,-2,-3,11,12,7,10,16,,21,19,,115,1m:55s,AnonymousUser,610708c5efbf18e4295facc3,647e158528ccd252f9e1378b,657c139efc7413fa537c614b,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=610708c5efbf18e4295facc3&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c139efc7413fa537c614b,,,1,11,2,23,3,30,4,87,7,65,6,49,5,97,19707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,006a4ac9-ca31-4efb-ad5f-028ea8d97626
﻿,0,,,2023-12-15 08:55:18.601767,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,5bed755fcca71f00014111e6,,,1,-3,-1,-3,-1,-2,,-1,-1,1,1,-1,,-3,1,6,15,5,23,13,13,,22,,142,2m:22s,AnonymousUser,5bed755fcca71f00014111e6,647e158528ccd252f9e1378b,657c1463245848c8fef0b66c,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=5bed755fcca71f00014111e6&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c1463245848c8fef0b66c,,,1,6,2,21,3,26,4,48,5,97,,71,6,84,19709,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,9340b3d0-ded6-4af2-963d-447b0e1c2c47
﻿,0,,,2023-12-15 08:55:42.306930,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,63d3fd5916541b5031bd4a3f,,,-2,-3,-2,-3,-3,1,-3,-1,1,-2,1,1,-2,-2,-3,5,5,2,11,16,,27,31,,118,1m:58s,AnonymousUser,63d3fd5916541b5031bd4a3f,647e14799b46b0e21c3c5ce1,657c1486b4c457297968f364,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=63d3fd5916541b5031bd4a3f&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c1486b4c457297968f364,,,1,5,2,10,3,12,4,86,7,59,6,43,5,97,19710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,cd5b56c2-4216-4957-82fe-c80c3f25284e
﻿,0,,,2023-12-15 08:59:53.029978,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,5862e18ade1cea0001f79bce,,,-3,-2,-1,-2,,-2,-1,-2,-3,-2,1,-1,-3,-3,-3,6,22,11,131,28,,38,31,,302,5m:2s,AnonymousUser,5862e18ade1cea0001f79bce,647e158528ccd252f9e1378b,657c157a04aae1c6a7ada79e,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=5862e18ade1cea0001f79bce&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c157a04aae1c6a7ada79e,,,1,6,2,28,3,39,4,136,7,98,6,70,5,267,19712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,e5537cf3-54b8-4c37-b15b-b7f40cca9675
﻿,0,,,2023-12-15 09:01:21.191036,7c84c335-14bb-4f3a-bf50-d6767efcf75e,instagram_1month_MAP__underserved_flat,1,,,,1,-1,-2,-2,1,-3,1,1,1,1,-2,1,1,-1,-1,20,12,,,318,33,14,26,,397,6m:37s,AnonymousUser,5dcc5c8927d0528f10ae47ae,647e1520657b3e741e290106,657c11430ee1ce3f0fe38b87,https://testxr.org/projects/survey/prolific/7c84c335-14bb-4f3a-bf50-d6767efcf75e/?PROLIFIC_PID=5dcc5c8927d0528f10ae47ae&STUDY_ID=647e1520657b3e741e290106&SESSION_ID=657c11430ee1ce3f0fe38b87,,,1,20,2,32,,,2,391,,377,5,26,3,344,19714,4,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,None,0537375b-e174-4bbd-a049-b4193ad75f9d
﻿,0,,,2023-12-15 09:03:45.628518,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5d01006f8a840b00195c2159,,,-3,-2,1,-2,1,-1,-1,-2,1,1,-3,-1,1,-1,-3,196,3,2,13,11,16,,11,,313,5m:13s,AnonymousUser,5d01006f8a840b00195c2159,647e14799b46b0e21c3c5ce1,657c15a185755b0383ae5a65,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5d01006f8a840b00195c2159&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c15a185755b0383ae5a65,,,1,196,2,199,3,235,4,262,5,302,,275,6,286,19715,7,211,24,251,11,201,10,246,5,,,,,,,,,,,,,,,,,,,,,,,,,,,None,9098f608-0b1e-42f2-a442-969b8cdce424
﻿,0,,,2023-12-15 09:03:52.354163,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,628781515f29a0394e23b15b,,,1,1,-2,1,1,-1,-1,1,1,,1,-2,-3,-2,1,558,10,4,,22,17,20,23,,666,11m:6s,AnonymousUser,628781515f29a0394e23b15b,647e158528ccd252f9e1378b,657c10d8245848c8fef0b5f7,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=628781515f29a0394e23b15b&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c10d8245848c8fef0b5f7,,,1,558,2,568,3,572,4,654,,634,7,595,5,617,19716,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,c293a732-6611-4b42-8f82-98d83fb7a6f0
﻿,0,,,2023-12-15 09:09:43.719758,6cccf816-0cce-4619-9edb-206a050a13b1,instagram_1month_MAP__ar,1,5f653cb18aad310a9ee7c32d,,,1,1,-3,-2,-3,-1,1,1,-3,-2,-1,-1,-3,-2,-3,12,9,13,15,21,25,,24,,142,2m:22s,AnonymousUser,5f653cb18aad310a9ee7c32d,647e14799b46b0e21c3c5ce1,657c17afc3651c124e9966cd,https://testxr.org/projects/survey/prolific/6cccf816-0cce-4619-9edb-206a050a13b1/?PROLIFIC_PID=5f653cb18aad310a9ee7c32d&STUDY_ID=647e14799b46b0e21c3c5ce1&SESSION_ID=657c17afc3651c124e9966cd,,,1,12,2,21,3,34,4,105,7,121,,84,6,59,19719,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,ec288a84-4196-48b2-9f05-8d23338a976d
﻿,0,,,2023-12-15 09:12:17.422293,9aeacec5-7402-425a-aa1f-5c7714f864c5,instagram_1month_MAP__flat,1,5f0f59f3bc44f50f92845a05,,,-2,-3,-2,1,-3,-1,1,-2,-1,1,-2,-2,-1,1,1,39,11,4,,21,21,17,21,,147,2m:27s,AnonymousUser,5f0f59f3bc44f50f92845a05,647e158528ccd252f9e1378b,657c184326516013201c75e3,https://testxr.org/projects/survey/prolific/9aeacec5-7402-425a-aa1f-5c7714f864c5/?PROLIFIC_PID=5f0f59f3bc44f50f92845a05&STUDY_ID=647e158528ccd252f9e1378b&SESSION_ID=657c184326516013201c75e3,,,1,39,2,50,3,54,4,134,,117,7,75,5,96,19720,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,f0376100-2f53-48c3-bc78-8ff1cac44193
